Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
-1.195217191,-2.839256528,3.664058758,1.588232309,0.853285795,0.867530082,550,1
-0.292023862,-1.351281995,-1.738429162,-0.342615928,2.838635512,-0.038033328,3543,0
-0.657195773,-2.271626609,1.324873847,-0.097874716,3.637970491,-3.413761338,2550,1
1.36421682,-1.296611877,-0.384658206,-0.55300577,3.030874354,-1.303849429,2344,1
-3.425399755,-1.409082204,-1.913511195,-0.555774864,-3.85307147,1.914615916,1694,0
1.331605736,1.635955715,0.875974244,-1.67779794,3.106344455,-1.847416733,3430,1
-1.995462096,-0.42895848,1.530643583,-0.742971676,0.158834003,0.974437858,1044,1
-3.867632233,-3.734513576,0.986429067,-1.20765455,2.292872919,4.080920787,1950,0
-0.727982709,-0.442820353,-4.092222827,0.597512917,0.393714261,1.620856772,3331,0
-2.69933629,-1.329506988,-1.418506853,-0.625545768,2.371074371,3.403164523,1636,0
2.450959845,-0.564177407,-1.635040727,0.942399869,-2.08731667,1.214321691,2862,1
-0.170811719,-1.867271142,-1.771844728,2.413155317,-3.094554738,-0.624884375,1350,0
-1.345530536,-1.623701121,2.044143754,1.754812932,0.997567093,0.434179855,3114,1
2.839580937,-0.344798192,-1.019797291,0.894580857,-1.300060883,0.58237862,3106,1
-2.659887385,-2.795684208,4.230403587,0.697550395,2.180911101,-0.088775396,799,1
-1.468951547,-1.950359588,-2.214372889,0.909758509,2.864448854,3.965955655,448,0
-0.074370177,-4.714749953,0.249767641,2.935319065,1.4097551,-2.643810206,2830,1
-0.302364267,1.724395847,-2.442337223,3.465108479,0.449791675,-0.074362452,3469,0
-2.423946222,-0.698500653,0.146030407,0.630106169,2.990560508,0.779472898,3710,0
0.135714199,-0.753756857,-2.196146456,1.039276088,0.580537553,0.227308777,3292,0
0.522960759,-1.428085244,-0.743518743,1.786716194,-4.207543546,-1.825231216,1019,0
-1.299468393,-3.504792012,-1.129402004,0.555905383,-2.807550163,1.714630108,1856,0
-0.300698281,-0.513603251,0.921006242,1.378172075,2.274746687,0.745336375,1681,1
1.999830964,0.669989798,-2.099615991,2.645818971,-0.989495892,0.373330128,1495,0
1.44605205,1.656691823,-1.77752075,1.708962209,-0.341670322,-1.322439494,846,0
-0.595825477,1.53467991,-1.769318974,0.664501835,-0.432874451,0.800438687,3076,0
0.41049215,-2.260290059,-3.335948019,-0.285205194,-2.733844264,2.585985706,1712,0
-2.560871547,-0.096411696,2.413774105,1.318293666,3.271688133,-1.797184556,1582,1
1.681662618,-2.981673805,-0.079805091,-0.947866387,3.034812556,-0.708611234,2779,1
-0.588796035,-1.121987147,2.324295089,0.31193071,5.148739416,-3.351988405,3980,0
-0.034367939,-1.332805096,2.329101271,2.862758897,0.825239311,1.062672091,3382,1
-0.955402343,-2.461096775,-4.087156169,0.839107617,1.003216188,4.97563997,726,0
-3.061165273,0.837103637,-1.076638228,1.524738013,1.764140258,-0.05647271,1062,1
3.948113709,-1.634183083,-4.773780118,1.9316313,0.790539691,1.583097197,1522,1
-1.796718509,-3.469227293,3.685436759,-0.164140623,1.32029846,1.480109529,1450,1
1.286737909,-2.429524527,0.956133102,1.477542241,4.786375676,-3.382357404,3482,1
1.196545025,-1.448104291,-0.921516758,2.005491286,0.404741482,-0.700778848,2727,0
-0.354190342,-2.024042534,1.36698489,3.233616169,0.992668519,1.525608545,3597,1
-1.53860666,-2.747844387,1.844950057,0.491249069,-0.425815521,1.25976818,1155,0
0.807854104,0.752707011,0.179226346,1.451582185,-1.611859169,-2.776274958,2105,0
3.930361392,2.754406492,-2.667949537,1.428248173,0.092761232,1.095793658,3547,1
-0.487366694,-0.768805325,-0.779231515,2.025256619,1.477926984,0.267788073,1916,1
-1.387990181,2.738510761,-2.349216852,0.953438489,1.860715718,2.317309906,3696,0
-3.328571498,0.652576936,-1.424402957,0.727385379,1.576921347,2.57780352,2458,0
-1.107060152,2.261198229,-2.635197022,0.882264783,-0.02399536,2.218099369,3632,0
-2.938616815,0.524454917,0.802257441,-1.475930881,-0.336348939,1.43064807,1451,1
-0.411307683,-1.758595285,-2.213864776,-0.149535258,1.576184296,0.929197409,2941,0
1.343763324,-2.514417138,-3.461538942,3.841154192,0.280515139,-0.025436811,2593,1
1.205450296,-1.783508474,0.652683061,2.442983435,1.34691458,1.115062157,875,1
3.010344278,-3.423028629,-3.110977964,-1.543044507,3.567608188,1.696232599,2308,1
2.032797084,-0.641021365,-2.409689916,2.936128289,1.675484552,-0.904588536,3376,1
1.822657318,-0.545617297,-0.367820835,0.252983288,-0.789107409,2.135911779,1781,1
1.098486821,-1.020374176,1.211131183,1.260177674,-1.029902705,2.622737988,3560,1
-0.479883026,-0.079195404,-0.843547042,3.049567607,3.663838119,-0.365698656,1045,1
0.833097732,0.449713632,-1.638548868,-0.63133803,2.830906373,-0.668860377,2714,1
-3.464155339,1.352111148,0.458025722,0.892746743,3.129818456,-1.74467453,1418,1
-4.67414092,0.797045882,-0.897212669,-1.393983171,0.492129797,3.201707789,467,0
-3.341493048,-1.355556544,1.433646684,1.722356677,0.112911807,0.68878842,3060,0
0.455312607,-2.382895446,-0.83742965,-2.36617514,-0.276460122,0.852335249,26,1
-2.236188121,-1.174561063,1.482703478,-0.277161056,1.497598428,1.075731385,695,1
-2.188932795,2.131754258,0.260841291,3.886048374,-3.196263115,-3.560593877,2037,1
-1.569763886,1.059864965,1.518880096,1.666096276,3.068931353,-1.48035112,3605,0
-1.129060897,-0.257836171,-1.942238912,-0.020934662,-0.724138915,2.662111019,90,0
-0.399608624,-3.198174574,-1.250639262,2.909277682,-2.314037098,-0.231112054,1708,0
0.610132436,-3.460818667,1.336759306,0.387451504,-0.136781229,2.988645551,1330,0
0.562851227,-1.827989146,-4.622243679,-0.32573547,2.578804915,2.481541376,2769,0
0.039413688,-1.137430244,0.477732329,1.656480571,-3.256232026,-0.503584221,2364,0
-2.159610389,-1.295959495,-1.732435214,0.080724492,-1.95961421,2.723039718,1048,0
2.160591551,-1.608127507,-3.149539978,1.354258442,2.169308776,0.561455393,2972,1
0.913367079,0.238227626,-0.86645313,0.411078967,0.777247078,-0.690557676,2176,0
-2.178068955,0.711060019,-2.723528183,-0.79461916,1.371632238,2.661669238,1024,0
-2.1674624,-1.72966774,1.292344082,2.343027022,0.313248004,-0.90759004,1216,0
1.906895248,-0.286557035,-0.642276275,-0.909686603,0.56727051,0.447676716,3396,1
-2.451373743,-2.460445365,3.310559586,1.100072267,1.667256216,-0.01057985,674,1
2.355047056,-0.805007082,-4.046869242,-0.621273549,2.721016877,1.403612449,1190,0
1.75626858,-2.078246123,-1.347003072,1.570705713,0.205594839,3.33230319,133,1
-0.490313544,-2.693594239,-2.262928126,1.408218703,0.894130314,4.097052626,874,0
1.889651879,-1.234884586,-2.003226871,1.618220275,0.360724332,2.712213587,2064,1
0.523551092,-0.785293429,0.307177459,-0.773882387,1.220446256,-1.329702358,2902,1
-1.44761768,-0.40082252,-2.015819355,0.519147662,0.92156357,2.63835347,425,0
1.288315468,0.118324055,-2.03989032,1.254207548,0.421780581,0.273822524,2025,0
0.516948121,0.643780506,-2.752877948,1.265938234,0.714290184,1.041064133,1692,1
-0.629540613,-1.16111198,-0.33009969,0.930469883,2.087489482,0.369549864,1931,1
-0.691713124,-2.431340292,-0.909663545,2.428320647,0.242079363,2.313575569,2854,0
-2.090430519,-2.261319641,3.822713915,-0.512140853,0.660595132,0.663423371,1171,1
0.097397568,-2.090139656,-5.018889094,0.173397255,1.524662353,5.278448329,1164,0
1.372602617,-0.81619118,-1.138033248,1.948956568,-0.222231916,-0.561915322,3078,1
-0.618111889,-2.131703542,-1.580025186,-0.195316309,3.625676756,3.259309401,1126,0
1.80336603,-0.976044046,-1.54691943,0.926305296,3.13968117,-0.683222706,3765,1
-0.201342768,0.579131757,-2.126035342,3.129284882,-4.401848909,-0.552627575,1434,1
-1.159324283,0.723172074,-0.040253594,-0.748296452,0.677957479,1.25184885,1381,1
-1.581378996,-0.759501459,0.135359641,1.881819633,1.998052361,0.729362217,2194,1
-1.111426668,-2.084750358,2.519879958,0.918003904,1.377124216,0.937208835,667,1
-1.921823652,-3.481362426,0.441475743,1.777523431,-0.283584197,0.82291936,1811,0
-1.96733108,0.77615106,0.271438354,0.695994122,2.157869261,-0.070030044,1079,1
-1.572555914,-0.009042436,1.969436236,1.884461994,0.977655875,-0.655248809,3308,0
-0.426619219,-1.436843963,-0.660813891,-0.560818317,-1.871932248,1.269263936,1202,0
-0.725181296,-1.447133711,1.840994287,3.086182479,2.229221836,0.555091226,3681,1
